year,level_1,level_2,value
2005,Total Female Citizens,55 - 59 Years,95841
2005,Total Female Citizens,60 - 64 Years,58053
2005,Total Female Citizens,65 - 69 Years,50879
2005,Total Female Citizens,70 - 74 Years,40529
2005,Total Female Citizens,75 - 79 Years,29069
2005,Total Female Citizens,80 - 84 Years,16416
2005,Total Female Citizens,65 Years & Over,151644
2005,Total Female Citizens,70 Years & Over,100765
2005,Total Female Citizens,75 Years & Over,60236
2005,Total Female Citizens,80 Years & Over,31167
2005,Total Female Citizens,85 Years & Over,14751
2005,Total Malays,0  -  4 Years,36094
2005,Total Malays,5  -  9 Years,43174
2005,Total Malays,10 - 14 Years,48449
2005,Total Malays,15 - 19 Years,44231
2005,Total Malays,20 - 24 Years,36200
2005,Total Malays,25 - 29 Years,26922
2005,Total Malays,30 - 34 Years,30698
2005,Total Malays,35 - 39 Years,36449
2005,Total Malays,40 - 44 Years,43856
2005,Total Malays,45 - 49 Years,37825
2005,Total Malays,50 - 54 Years,27507
2005,Total Malays,55 - 59 Years,18792
2005,Total Malays,60 - 64 Years,9804
2005,Total Malays,65 - 69 Years,9400
2005,Total Malays,70 - 74 Years,8199
2005,Total Malays,75 - 79 Years,5285
2005,Total Malays,80 - 84 Years,2708
2005,Total Malays,65 Years & Over,26925
2005,Total Malays,70 Years & Over,17525
2005,Total Malays,75 Years & Over,9326
2005,Total Malays,80 Years & Over,4041
2005,Total Malays,85 Years & Over,1333
2005,Total Male Malays,0  -  4 Years,18691
2005,Total Male Malays,5  -  9 Years,22312
2005,Total Male Malays,10 - 14 Years,25016
2005,Total Male Malays,15 - 19 Years,22620
2005,Total Male Malays,20 - 24 Years,18577
2005,Total Male Malays,25 - 29 Years,13815
2005,Total Male Malays,30 - 34 Years,15601
2005,Total Male Malays,35 - 39 Years,18175
2005,Total Male Malays,40 - 44 Years,22051
2005,Total Male Malays,45 - 49 Years,19112
2005,Total Male Malays,50 - 54 Years,13626
2005,Total Male Malays,55 - 59 Years,9228
2005,Total Male Malays,60 - 64 Years,4549
2005,Total Male Malays,65 - 69 Years,4558
2005,Total Male Malays,70 - 74 Years,3614
2005,Total Male Malays,75 - 79 Years,2546
2005,Total Male Malays,80 - 84 Years,1376
2005,Total Male Malays,65 Years & Over,12775
2005,Total Male Malays,70 Years & Over,8217
2005,Total Male Malays,75 Years & Over,4603
2005,Total Male Malays,80 Years & Over,2057
2005,Total Male Malays,85 Years & Over,681
2005,Total Female Malays,0  -  4 Years,17403
2005,Total Female Malays,5  -  9 Years,20862
2005,Total Female Malays,10 - 14 Years,23433
2005,Total Female Malays,15 - 19 Years,21611
2005,Total Female Malays,20 - 24 Years,17623
2005,Total Female Malays,25 - 29 Years,13107
2005,Total Female Malays,30 - 34 Years,15097
2005,Total Female Malays,35 - 39 Years,18274
2005,Total Female Malays,40 - 44 Years,21805
2005,Total Female Malays,45 - 49 Years,18713
2005,Total Female Malays,50 - 54 Years,13881
2005,Total Female Malays,55 - 59 Years,9564
2005,Total Female Malays,60 - 64 Years,5255
2005,Total Female Malays,65 - 69 Years,4842
2005,Total Female Malays,70 - 74 Years,4585
2005,Total Female Malays,75 - 79 Years,2739
2005,Total Female Malays,80 - 84 Years,1332
2005,Total Female Malays,65 Years & Over,14150
2005,Total Female Malays,70 Years & Over,9308
2005,Total Female Malays,75 Years & Over,4723
2005,Total Female Malays,80 Years & Over,1984
2005,Total Female Malays,85 Years & Over,652
2005,Total Chinese,0  -  4 Years,120746
2005,Total Chinese,5  -  9 Years,148760
2005,Total Chinese,10 - 14 Years,168471
2005,Total Chinese,15 - 19 Years,157175
2005,Total Chinese,20 - 24 Years,147246
2005,Total Chinese,25 - 29 Years,153768
2005,Total Chinese,30 - 34 Years,175934
2005,Total Chinese,35 - 39 Years,180812
2005,Total Chinese,40 - 44 Years,211160
2005,Total Chinese,45 - 49 Years,222161
2005,Total Chinese,50 - 54 Years,194684
2005,Total Chinese,55 - 59 Years,157405
2005,Total Chinese,60 - 64 Years,95480
2005,Total Chinese,65 - 69 Years,81253
2005,Total Chinese,70 - 74 Years,60388
2005,Total Chinese,75 - 79 Years,40911
2005,Total Chinese,80 - 84 Years,22393
2005,Total Chinese,65 Years & Over,224385
2005,Total Chinese,70 Years & Over,143132
2005,Total Chinese,75 Years & Over,82744
2005,Total Chinese,80 Years & Over,41833
2005,Total Chinese,85 Years & Over,19440
2005,Total Male Chinese,0  -  4 Years,62195
2005,Total Male Chinese,5  -  9 Years,77091
2005,Total Male Chinese,10 - 14 Years,86766
2005,Total Male Chinese,15 - 19 Years,81479
2005,Total Male Chinese,20 - 24 Years,76436
2005,Total Male Chinese,25 - 29 Years,78750
2005,Total Male Chinese,30 - 34 Years,88232
2005,Total Male Chinese,35 - 39 Years,89434
2005,Total Male Chinese,40 - 44 Years,105589
2005,Total Male Chinese,45 - 49 Years,111198
2005,Total Male Chinese,50 - 54 Years,97715
2005,Total Male Chinese,55 - 59 Years,78049
2005,Total Male Chinese,60 - 64 Years,46341
2005,Total Male Chinese,65 - 69 Years,38795
2005,Total Male Chinese,70 - 74 Years,27143
2005,Total Male Chinese,75 - 79 Years,16265
2005,Total Male Chinese,80 - 84 Years,8092
2005,Total Male Chinese,65 Years & Over,96101
2005,Total Male Chinese,70 Years & Over,57306
2005,Total Male Chinese,75 Years & Over,30163
2005,Total Male Chinese,80 Years & Over,13898
2005,Total Male Chinese,85 Years & Over,5806
2005,Total Female Chinese,0  -  4 Years,58551
2005,Total Female Chinese,5  -  9 Years,71669
2005,Total Female Chinese,10 - 14 Years,81705
2005,Total Female Chinese,15 - 19 Years,75696
2005,Total Female Chinese,20 - 24 Years,70810
2005,Total Female Chinese,25 - 29 Years,75018
2005,Total Female Chinese,30 - 34 Years,87702
2005,Total Female Chinese,35 - 39 Years,91378
2005,Total Female Chinese,40 - 44 Years,105571
2005,Total Female Chinese,45 - 49 Years,110963
2005,Total Female Chinese,50 - 54 Years,96969
2005,Total Female Chinese,55 - 59 Years,79356
2005,Total Female Chinese,60 - 64 Years,49139
2005,Total Female Chinese,65 - 69 Years,42458
2005,Total Female Chinese,70 - 74 Years,33245
2005,Total Female Chinese,75 - 79 Years,24646
2005,Total Female Chinese,80 - 84 Years,14301
2005,Total Female Chinese,65 Years & Over,128284
2005,Total Female Chinese,70 Years & Over,85826
2005,Total Female Chinese,75 Years & Over,52581
2005,Total Female Chinese,80 Years & Over,27935
2005,Total Female Chinese,85 Years & Over,13634
2005,Total Indians,0  -  4 Years,14451
2005,Total Indians,5  -  9 Years,17529
2005,Total Indians,10 - 14 Years,19697
2005,Total Indians,15 - 19 Years,18167
2005,Total Indians,20 - 24 Years,15487
2005,Total Indians,25 - 29 Years,12831
2005,Total Indians,30 - 34 Years,14729
2005,Total Indians,35 - 39 Years,18011
2005,Total Indians,40 - 44 Years,21303
2005,Total Indians,45 - 49 Years,20317
2005,Total Indians,50 - 54 Years,15609
2005,Total Indians,55 - 59 Years,11795
2005,Total Indians,60 - 64 Years,5972
2005,Total Indians,65 - 69 Years,5504
2005,Total Indians,70 - 74 Years,4903
2005,Total Indians,75 - 79 Years,3293
2005,Total Indians,80 - 84 Years,1533
2005,Total Indians,65 Years & Over,16100
2005,Total Indians,70 Years & Over,10596
2005,Total Indians,75 Years & Over,5693
2005,Total Indians,80 Years & Over,2400
2005,Total Indians,85 Years & Over,867
2005,Total Male Indians,0  -  4 Years,7443
2005,Total Male Indians,5  -  9 Years,8942
2005,Total Male Indians,10 - 14 Years,9961
2005,Total Male Indians,15 - 19 Years,9319
2005,Total Male Indians,20 - 24 Years,7931
2005,Total Male Indians,25 - 29 Years,6442
2005,Total Male Indians,30 - 34 Years,7380
2005,Total Male Indians,35 - 39 Years,9234
2005,Total Male Indians,40 - 44 Years,10671
2005,Total Male Indians,45 - 49 Years,10460
2005,Total Male Indians,50 - 54 Years,7720
2005,Total Male Indians,55 - 59 Years,5716
2005,Total Male Indians,60 - 64 Years,2756
2005,Total Male Indians,65 - 69 Years,2457
2005,Total Male Indians,70 - 74 Years,2701
2005,Total Male Indians,75 - 79 Years,1962
2005,Total Male Indians,80 - 84 Years,962
2005,Total Male Indians,65 Years & Over,8660
2005,Total Male Indians,70 Years & Over,6203
2005,Total Male Indians,75 Years & Over,3502
2005,Total Male Indians,80 Years & Over,1540
2005,Total Male Indians,85 Years & Over,578
2005,Total Female Indians,0  -  4 Years,7008
2005,Total Female Indians,5  -  9 Years,8587
2005,Total Female Indians,10 - 14 Years,9736
2005,Total Female Indians,15 - 19 Years,8848
2005,Total Female Indians,20 - 24 Years,7556
2005,Total Female Indians,25 - 29 Years,6389
2005,Total Female Indians,30 - 34 Years,7349
2005,Total Female Indians,35 - 39 Years,8777
2005,Total Female Indians,40 - 44 Years,10632
2005,Total Female Indians,45 - 49 Years,9857
2005,Total Female Indians,50 - 54 Years,7889
2005,Total Female Indians,55 - 59 Years,6079
2005,Total Female Indians,60 - 64 Years,3216
2005,Total Female Indians,65 - 69 Years,3047
2005,Total Female Indians,70 - 74 Years,2202
2005,Total Female Indians,75 - 79 Years,1331
2005,Total Female Indians,80 - 84 Years,571
2005,Total Female Indians,65 Years & Over,7440
2005,Total Female Indians,70 Years & Over,4393
2005,Total Female Indians,75 Years & Over,2191
2005,Total Female Indians,80 Years & Over,860
2005,Total Female Indians,85 Years & Over,289
2005,Other Ethnic Groups (Total),0  -  4 Years,3508
2005,Other Ethnic Groups (Total),5  -  9 Years,3549
2005,Other Ethnic Groups (Total),10 - 14 Years,3277
2005,Other Ethnic Groups (Total),15 - 19 Years,2837
2005,Other Ethnic Groups (Total),20 - 24 Years,2198
2005,Other Ethnic Groups (Total),25 - 29 Years,1728
2005,Other Ethnic Groups (Total),30 - 34 Years,1874
2005,Other Ethnic Groups (Total),35 - 39 Years,2125
2005,Other Ethnic Groups (Total),40 - 44 Years,2571
2005,Other Ethnic Groups (Total),45 - 49 Years,2566
2005,Other Ethnic Groups (Total),50 - 54 Years,2022
2005,Other Ethnic Groups (Total),55 - 59 Years,1707
2005,Other Ethnic Groups (Total),60 - 64 Years,846
2005,Other Ethnic Groups (Total),65 - 69 Years,942
2005,Other Ethnic Groups (Total),70 - 74 Years,877
2005,Other Ethnic Groups (Total),75 - 79 Years,622
2005,Other Ethnic Groups (Total),80 - 84 Years,381
2005,Other Ethnic Groups (Total),65 Years & Over,3082
2005,Other Ethnic Groups (Total),70 Years & Over,2140
2005,Other Ethnic Groups (Total),75 Years & Over,1263
2005,Other Ethnic Groups (Total),80 Years & Over,641
2005,Other Ethnic Groups (Total),85 Years & Over,260
2005,Other Ethnic Groups (Males),0  -  4 Years,1833
2005,Other Ethnic Groups (Males),5  -  9 Years,1787
2005,Other Ethnic Groups (Males),10 - 14 Years,1663
2005,Other Ethnic Groups (Males),15 - 19 Years,1488
2005,Other Ethnic Groups (Males),20 - 24 Years,1134
2005,Other Ethnic Groups (Males),25 - 29 Years,827
2005,Other Ethnic Groups (Males),30 - 34 Years,876
2005,Other Ethnic Groups (Males),35 - 39 Years,890
2005,Other Ethnic Groups (Males),40 - 44 Years,1141
2005,Other Ethnic Groups (Males),45 - 49 Years,1194
2005,Other Ethnic Groups (Males),50 - 54 Years,994
2005,Other Ethnic Groups (Males),55 - 59 Years,865
2005,Other Ethnic Groups (Males),60 - 64 Years,403
2005,Other Ethnic Groups (Males),65 - 69 Years,410
2005,Other Ethnic Groups (Males),70 - 74 Years,380
2005,Other Ethnic Groups (Males),75 - 79 Years,269
2005,Other Ethnic Groups (Males),80 - 84 Years,169
2005,Other Ethnic Groups (Males),65 Years & Over,1312
2005,Other Ethnic Groups (Males),70 Years & Over,902
2005,Other Ethnic Groups (Males),75 Years & Over,522
2005,Other Ethnic Groups (Males),80 Years & Over,253
2005,Other Ethnic Groups (Males),85 Years & Over,84
2005,Other Ethnic Groups (Females),0  -  4 Years,1675
2005,Other Ethnic Groups (Females),5  -  9 Years,1762
2005,Other Ethnic Groups (Females),10 - 14 Years,1614
2005,Other Ethnic Groups (Females),15 - 19 Years,1349
2005,Other Ethnic Groups (Females),20 - 24 Years,1064
2005,Other Ethnic Groups (Females),25 - 29 Years,901
2005,Other Ethnic Groups (Females),30 - 34 Years,998
2005,Other Ethnic Groups (Females),35 - 39 Years,1235
2005,Other Ethnic Groups (Females),40 - 44 Years,1430
2005,Other Ethnic Groups (Females),45 - 49 Years,1372
2005,Other Ethnic Groups (Females),50 - 54 Years,1028
2005,Other Ethnic Groups (Females),55 - 59 Years,842
2005,Other Ethnic Groups (Females),60 - 64 Years,443
2005,Other Ethnic Groups (Females),65 - 69 Years,532
2005,Other Ethnic Groups (Females),70 - 74 Years,497
2005,Other Ethnic Groups (Females),75 - 79 Years,353
2005,Other Ethnic Groups (Females),80 - 84 Years,212
2005,Other Ethnic Groups (Females),65 Years & Over,1770
2005,Other Ethnic Groups (Females),70 Years & Over,1238
2005,Other Ethnic Groups (Females),75 Years & Over,741
2005,Other Ethnic Groups (Females),80 Years & Over,388
2005,Other Ethnic Groups (Females),85 Years & Over,176
2006,Total Citizen,0  -  4 Years,167717
2006,Total Citizen,5  -  9 Years,209169
2006,Total Citizen,10 - 14 Years,236544
2006,Total Citizen,15 - 19 Years,232769
2006,Total Citizen,20 - 24 Years,200710
2006,Total Citizen,25 - 29 Years,197324
2006,Total Citizen,30 - 34 Years,218395
2006,Total Citizen,35 - 39 Years,230941
2006,Total Citizen,40 - 44 Years,275566
2006,Total Citizen,45 - 49 Years,285681
2006,Total Citizen,50 - 54 Years,250502
2006,Total Citizen,55 - 59 Years,205460
2006,Total Citizen,60 - 64 Years,112515
2006,Total Citizen,65 - 69 Years,104353
2006,Total Citizen,70 - 74 Years,75906
2006,Total Citizen,75 - 79 Years,52872
2006,Total Citizen,80 - 84 Years,28500
2006,Total Citizen,65 Years & Over,284631
2006,Total Citizen,70 Years & Over,180278
2006,Total Citizen,75 Years & Over,104372
2006,Total Citizen,80 Years & Over,51500
2006,Total Citizen,85 Years & Over,23000
2006,Total Male Citizens,0  -  4 Years,86218
2006,Total Male Citizens,5  -  9 Years,108384
2006,Total Male Citizens,10 - 14 Years,121564
2006,Total Male Citizens,15 - 19 Years,120088
2006,Total Male Citizens,20 - 24 Years,104253
2006,Total Male Citizens,25 - 29 Years,100992
2006,Total Male Citizens,30 - 34 Years,109830
2006,Total Male Citizens,35 - 39 Years,114442
2006,Total Male Citizens,40 - 44 Years,137711
2006,Total Male Citizens,45 - 49 Years,143525
2006,Total Male Citizens,50 - 54 Years,125254
2006,Total Male Citizens,55 - 59 Years,101697
2006,Total Male Citizens,60 - 64 Years,54592
2006,Total Male Citizens,65 - 69 Years,49328
2006,Total Male Citizens,70 - 74 Years,34716
2006,Total Male Citizens,75 - 79 Years,22395
2006,Total Male Citizens,80 - 84 Years,11114
2006,Total Male Citizens,65 Years & Over,125110
2006,Total Male Citizens,70 Years & Over,75782
2006,Total Male Citizens,75 Years & Over,41066
2006,Total Male Citizens,80 Years & Over,18671
2006,Total Male Citizens,85 Years & Over,7557
2006,Total Female Citizens,0  -  4 Years,81499
2006,Total Female Citizens,5  -  9 Years,100785
2006,Total Female Citizens,10 - 14 Years,114980
2006,Total Female Citizens,15 - 19 Years,112681
2006,Total Female Citizens,20 - 24 Years,96457
2006,Total Female Citizens,25 - 29 Years,96332
2006,Total Female Citizens,30 - 34 Years,108565
2006,Total Female Citizens,35 - 39 Years,116499
2006,Total Female Citizens,40 - 44 Years,137855
2006,Total Female Citizens,45 - 49 Years,142156
2006,Total Female Citizens,50 - 54 Years,125248
2006,Total Female Citizens,55 - 59 Years,103763
2006,Total Female Citizens,60 - 64 Years,57923
2006,Total Female Citizens,65 - 69 Years,55025
2006,Total Female Citizens,70 - 74 Years,41190
2006,Total Female Citizens,75 - 79 Years,30477
2006,Total Female Citizens,80 - 84 Years,17386
2006,Total Female Citizens,65 Years & Over,159521
2006,Total Female Citizens,70 Years & Over,104496
2006,Total Female Citizens,75 Years & Over,63306
2006,Total Female Citizens,80 Years & Over,32829
2006,Total Female Citizens,85 Years & Over,15443
2006,Total Malays,0  -  4 Years,34694
2006,Total Malays,5  -  9 Years,42294
2006,Total Malays,10 - 14 Years,47531
2006,Total Malays,15 - 19 Years,45988
2006,Total Malays,20 - 24 Years,37621
2006,Total Malays,25 - 29 Years,28311
2006,Total Malays,30 - 34 Years,29595
2006,Total Malays,35 - 39 Years,34096
2006,Total Malays,40 - 44 Years,43779
2006,Total Malays,45 - 49 Years,39555
2006,Total Malays,50 - 54 Years,29684
2006,Total Malays,55 - 59 Years,20786
2006,Total Malays,60 - 64 Years,9905
2006,Total Malays,65 - 69 Years,9524
2006,Total Malays,70 - 74 Years,8525
2006,Total Malays,75 - 79 Years,5387
2006,Total Malays,80 - 84 Years,2800
2006,Total Malays,65 Years & Over,27640
2006,Total Malays,70 Years & Over,18116
2006,Total Malays,75 Years & Over,9591
2006,Total Malays,80 Years & Over,4204
2006,Total Malays,85 Years & Over,1404
2006,Total Male Malays,0  -  4 Years,17869
2006,Total Male Malays,5  -  9 Years,21937
2006,Total Male Malays,10 - 14 Years,24470
2006,Total Male Malays,15 - 19 Years,23593
2006,Total Male Malays,20 - 24 Years,19341
2006,Total Male Malays,25 - 29 Years,14539
2006,Total Male Malays,30 - 34 Years,15095
2006,Total Male Malays,35 - 39 Years,17007
2006,Total Male Malays,40 - 44 Years,21960
2006,Total Male Malays,45 - 49 Years,19991
2006,Total Male Malays,50 - 54 Years,14737
2006,Total Male Malays,55 - 59 Years,10156
2006,Total Male Malays,60 - 64 Years,4672
2006,Total Male Malays,65 - 69 Years,4578
2006,Total Male Malays,70 - 74 Years,3769
2006,Total Male Malays,75 - 79 Years,2497
2006,Total Male Malays,80 - 84 Years,1405
2006,Total Male Malays,65 Years & Over,12975
2006,Total Male Malays,70 Years & Over,8397
2006,Total Male Malays,75 Years & Over,4628
2006,Total Male Malays,80 Years & Over,2131
2006,Total Male Malays,85 Years & Over,726
2006,Total Female Malays,0  -  4 Years,16825
2006,Total Female Malays,5  -  9 Years,20357
2006,Total Female Malays,10 - 14 Years,23061
2006,Total Female Malays,15 - 19 Years,22395
2006,Total Female Malays,20 - 24 Years,18280
2006,Total Female Malays,25 - 29 Years,13772
2006,Total Female Malays,30 - 34 Years,14500
2006,Total Female Malays,35 - 39 Years,17089
2006,Total Female Malays,40 - 44 Years,21819
2006,Total Female Malays,45 - 49 Years,19564
2006,Total Female Malays,50 - 54 Years,14947
2006,Total Female Malays,55 - 59 Years,10630
2006,Total Female Malays,60 - 64 Years,5233
2006,Total Female Malays,65 - 69 Years,4946
2006,Total Female Malays,70 - 74 Years,4756
2006,Total Female Malays,75 - 79 Years,2890
2006,Total Female Malays,80 - 84 Years,1395
2006,Total Female Malays,65 Years & Over,14665
2006,Total Female Malays,70 Years & Over,9719
2006,Total Female Malays,75 Years & Over,4963
2006,Total Female Malays,80 Years & Over,2073
2006,Total Female Malays,85 Years & Over,678
2006,Total Chinese,0  -  4 Years,115290
2006,Total Chinese,5  -  9 Years,145887
2006,Total Chinese,10 - 14 Years,166206
2006,Total Chinese,15 - 19 Years,164842
2006,Total Chinese,20 - 24 Years,144978
2006,Total Chinese,25 - 29 Years,153673
2006,Total Chinese,30 - 34 Years,172605
2006,Total Chinese,35 - 39 Years,177305
2006,Total Chinese,40 - 44 Years,207918
2006,Total Chinese,45 - 49 Years,222526
2006,Total Chinese,50 - 54 Years,202079
2006,Total Chinese,55 - 59 Years,169780
2006,Total Chinese,60 - 64 Years,95709
2006,Total Chinese,65 - 69 Years,88267
2006,Total Chinese,70 - 74 Years,61674
2006,Total Chinese,75 - 79 Years,43233
2006,Total Chinese,80 - 84 Years,23673
2006,Total Chinese,65 Years & Over,237163
2006,Total Chinese,70 Years & Over,148896
2006,Total Chinese,75 Years & Over,87222
2006,Total Chinese,80 Years & Over,43989
2006,Total Chinese,85 Years & Over,20316
2006,Total Male Chinese,0  -  4 Years,59242
2006,Total Male Chinese,5  -  9 Years,75725
2006,Total Male Chinese,10 - 14 Years,85539
2006,Total Male Chinese,15 - 19 Years,85294
2006,Total Male Chinese,20 - 24 Years,75597
2006,Total Male Chinese,25 - 29 Years,78800
2006,Total Male Chinese,30 - 34 Years,86750
2006,Total Male Chinese,35 - 39 Years,87559
2006,Total Male Chinese,40 - 44 Years,103815
2006,Total Male Chinese,45 - 49 Years,111541
2006,Total Male Chinese,50 - 54 Years,101196
2006,Total Male Chinese,55 - 59 Years,84248
2006,Total Male Chinese,60 - 64 Years,46704
2006,Total Male Chinese,65 - 69 Years,41841
2006,Total Male Chinese,70 - 74 Years,28066
2006,Total Male Chinese,75 - 79 Years,17512
2006,Total Male Chinese,80 - 84 Years,8525
2006,Total Male Chinese,65 Years & Over,102020
2006,Total Male Chinese,70 Years & Over,60179
2006,Total Male Chinese,75 Years & Over,32113
2006,Total Male Chinese,80 Years & Over,14601
2006,Total Male Chinese,85 Years & Over,6076
2006,Total Female Chinese,0  -  4 Years,56048
2006,Total Female Chinese,5  -  9 Years,70162
2006,Total Female Chinese,10 - 14 Years,80667
2006,Total Female Chinese,15 - 19 Years,79548
2006,Total Female Chinese,20 - 24 Years,69381
2006,Total Female Chinese,25 - 29 Years,74873
2006,Total Female Chinese,30 - 34 Years,85855
2006,Total Female Chinese,35 - 39 Years,89746
2006,Total Female Chinese,40 - 44 Years,104103
2006,Total Female Chinese,45 - 49 Years,110985
2006,Total Female Chinese,50 - 54 Years,100883
2006,Total Female Chinese,55 - 59 Years,85532
2006,Total Female Chinese,60 - 64 Years,49005
2006,Total Female Chinese,65 - 69 Years,46426
2006,Total Female Chinese,70 - 74 Years,33608
2006,Total Female Chinese,75 - 79 Years,25721
2006,Total Female Chinese,80 - 84 Years,15148
2006,Total Female Chinese,65 Years & Over,135143
2006,Total Female Chinese,70 Years & Over,88717
2006,Total Female Chinese,75 Years & Over,55109
2006,Total Female Chinese,80 Years & Over,29388
2006,Total Female Chinese,85 Years & Over,14240
2006,Total Indians,0  -  4 Years,14187
2006,Total Indians,5  -  9 Years,17364
2006,Total Indians,10 - 14 Years,19443
2006,Total Indians,15 - 19 Years,18959
2006,Total Indians,20 - 24 Years,15847
2006,Total Indians,25 - 29 Years,13501
2006,Total Indians,30 - 34 Years,14324
2006,Total Indians,35 - 39 Years,17363
2006,Total Indians,40 - 44 Years,21306
2006,Total Indians,45 - 49 Years,20944
2006,Total Indians,50 - 54 Years,16637
2006,Total Indians,55 - 59 Years,13008
2006,Total Indians,60 - 64 Years,6080
2006,Total Indians,65 - 69 Years,5613
2006,Total Indians,70 - 74 Years,4854
2006,Total Indians,75 - 79 Years,3553
2006,Total Indians,80 - 84 Years,1633
2006,Total Indians,65 Years & Over,16652
2006,Total Indians,70 Years & Over,11039
2006,Total Indians,75 Years & Over,6185
2006,Total Indians,80 Years & Over,2632
2006,Total Indians,85 Years & Over,999
2006,Total Male Indians,0  -  4 Years,7257
2006,Total Male Indians,5  -  9 Years,8891
2006,Total Male Indians,10 - 14 Years,9863
2006,Total Male Indians,15 - 19 Years,9637
2006,Total Male Indians,20 - 24 Years,8164
2006,Total Male Indians,25 - 29 Years,6756
2006,Total Male Indians,30 - 34 Years,7099
2006,Total Male Indians,35 - 39 Years,8981
2006,Total Male Indians,40 - 44 Years,10759
2006,Total Male Indians,45 - 49 Years,10782
2006,Total Male Indians,50 - 54 Years,8312
2006,Total Male Indians,55 - 59 Years,6313
2006,Total Male Indians,60 - 64 Years,2829
2006,Total Male Indians,65 - 69 Years,2485
2006,Total Male Indians,70 - 74 Years,2518
2006,Total Male Indians,75 - 79 Years,2099
2006,Total Male Indians,80 - 84 Years,1010
2006,Total Male Indians,65 Years & Over,8774
2006,Total Male Indians,70 Years & Over,6289
2006,Total Male Indians,75 Years & Over,3771
2006,Total Male Indians,80 Years & Over,1672
2006,Total Male Indians,85 Years & Over,662
2006,Total Female Indians,0  -  4 Years,6930
2006,Total Female Indians,5  -  9 Years,8473
2006,Total Female Indians,10 - 14 Years,9580
2006,Total Female Indians,15 - 19 Years,9322
2006,Total Female Indians,20 - 24 Years,7683
2006,Total Female Indians,25 - 29 Years,6745
2006,Total Female Indians,30 - 34 Years,7225
2006,Total Female Indians,35 - 39 Years,8382
2006,Total Female Indians,40 - 44 Years,10547
2006,Total Female Indians,45 - 49 Years,10162
2006,Total Female Indians,50 - 54 Years,8325
2006,Total Female Indians,55 - 59 Years,6695
2006,Total Female Indians,60 - 64 Years,3251
2006,Total Female Indians,65 - 69 Years,3128
2006,Total Female Indians,70 - 74 Years,2336
2006,Total Female Indians,75 - 79 Years,1454
2006,Total Female Indians,80 - 84 Years,623
2006,Total Female Indians,65 Years & Over,7878
2006,Total Female Indians,70 Years & Over,4750
2006,Total Female Indians,75 Years & Over,2414
2006,Total Female Indians,80 Years & Over,960
2006,Total Female Indians,85 Years & Over,337
2006,Other Ethnic Groups (Total),0  -  4 Years,3546
2006,Other Ethnic Groups (Total),5  -  9 Years,3624
2006,Other Ethnic Groups (Total),10 - 14 Years,3364
2006,Other Ethnic Groups (Total),15 - 19 Years,2980
2006,Other Ethnic Groups (Total),20 - 24 Years,2264
2006,Other Ethnic Groups (Total),25 - 29 Years,1839
2006,Other Ethnic Groups (Total),30 - 34 Years,1871
2006,Other Ethnic Groups (Total),35 - 39 Years,2177
2006,Other Ethnic Groups (Total),40 - 44 Years,2563
2006,Other Ethnic Groups (Total),45 - 49 Years,2656
2006,Other Ethnic Groups (Total),50 - 54 Years,2102
2006,Other Ethnic Groups (Total),55 - 59 Years,1886
2006,Other Ethnic Groups (Total),60 - 64 Years,821
2006,Other Ethnic Groups (Total),65 - 69 Years,949
2006,Other Ethnic Groups (Total),70 - 74 Years,853
2006,Other Ethnic Groups (Total),75 - 79 Years,699
2006,Other Ethnic Groups (Total),80 - 84 Years,394
2006,Other Ethnic Groups (Total),65 Years & Over,3176
2006,Other Ethnic Groups (Total),70 Years & Over,2227
2006,Other Ethnic Groups (Total),75 Years & Over,1374
2006,Other Ethnic Groups (Total),80 Years & Over,675
2006,Other Ethnic Groups (Total),85 Years & Over,281
2006,Other Ethnic Groups (Males),0  -  4 Years,1850
2006,Other Ethnic Groups (Males),5  -  9 Years,1831
2006,Other Ethnic Groups (Males),10 - 14 Years,1692
2006,Other Ethnic Groups (Males),15 - 19 Years,1564
2006,Other Ethnic Groups (Males),20 - 24 Years,1151
2006,Other Ethnic Groups (Males),25 - 29 Years,897
2006,Other Ethnic Groups (Males),30 - 34 Years,886
2006,Other Ethnic Groups (Males),35 - 39 Years,895
2006,Other Ethnic Groups (Males),40 - 44 Years,1177
2006,Other Ethnic Groups (Males),45 - 49 Years,1211
2006,Other Ethnic Groups (Males),50 - 54 Years,1009
2006,Other Ethnic Groups (Males),55 - 59 Years,980
2006,Other Ethnic Groups (Males),60 - 64 Years,387
2006,Other Ethnic Groups (Males),65 - 69 Years,424
2006,Other Ethnic Groups (Males),70 - 74 Years,363
2006,Other Ethnic Groups (Males),75 - 79 Years,287
2006,Other Ethnic Groups (Males),80 - 84 Years,174
2006,Other Ethnic Groups (Males),65 Years & Over,1341
2006,Other Ethnic Groups (Males),70 Years & Over,917
2006,Other Ethnic Groups (Males),75 Years & Over,554
2006,Other Ethnic Groups (Males),80 Years & Over,267
2006,Other Ethnic Groups (Males),85 Years & Over,93
2006,Other Ethnic Groups (Females),0  -  4 Years,1696
2006,Other Ethnic Groups (Females),5  -  9 Years,1793
2006,Other Ethnic Groups (Females),10 - 14 Years,1672
2006,Other Ethnic Groups (Females),15 - 19 Years,1416
2006,Other Ethnic Groups (Females),20 - 24 Years,1113
2006,Other Ethnic Groups (Females),25 - 29 Years,942
2006,Other Ethnic Groups (Females),30 - 34 Years,985
